carrier_name;AVG(del_array)
Allegiant Air;1067,07
Hawaiian Airlines Inc.;1635,28
Frontier Airlines Inc.;1894,65
ExpressJet Airlines Inc.;2165,39
ExpressJet Airlines LLC;2290,95
Envoy Air;2397,45
Mesa Airlines Inc.;2732,69
Endeavor Air Inc.;2828,92
Alaska Airlines Inc.;2853,10
Republic Airline;3602,32
PSA Airlines Inc.;3760,24
SkyWest Airlines Inc.;4178,51
Spirit Air Lines;4437,15
Delta Air Lines Inc.;5483,16
JetBlue Airways;7067,89
United Air Lines Inc.;7440,56
American Airlines Inc.;10049,13
Southwest Airlines Co.;10775,14
