carrier_name;arr_flights
Endeavor Air Inc.;281625
American Airlines Inc.;1018437
Alaska Airlines Inc.;284697
JetBlue Airways;321204
Delta Air Lines Inc.;1073663
ExpressJet Airlines Inc.;24389
Frontier Airlines Inc.;149912
Allegiant Air;115030
Hawaiian Airlines Inc.;90637
Envoy Air;351701
Spirit Air Lines;224464
PSA Airlines Inc.;313346
SkyWest Airlines Inc.;909735
United Air Lines Inc.;673640
Southwest Airlines Co.;1463985
Mesa Airlines Inc.;244057
Republic Airline;360077
ExpressJet Airlines LLC;119067
