airport_name
Allentown/Bethlehem/Easton, PA: Lehigh Valley International
Alexandria, LA: Alexandria International
Augusta, GA: Augusta Regional at Bush Field
Albany, NY: Albany International
Atlanta, GA: Hartsfield-Jackson Atlanta International
Appleton, WI: Appleton International
Hartford, CT: Bradley International
Bangor, ME: Bangor International
Birmingham, AL: Birmingham-Shuttlesworth International
Bloomington/Normal, IL: Central Il Regional Airport at Bloomington
Nashville, TN: Nashville International
Boston, MA: Logan International
Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field
Burlington, VT: Burlington International
Buffalo, NY: Buffalo Niagara International
Baltimore, MD: Baltimore/Washington International Thurgood Marshall
Columbia, SC: Columbia Metropolitan
Akron, OH: Akron-Canton Regional
Chattanooga, TN: Lovell Field
Charlottesville, VA: Charlottesville Albemarle
Cedar Rapids/Iowa City, IA: The Eastern Iowa
Cleveland, OH: Cleveland-Hopkins International
Charlotte, NC: Charlotte Douglas International
Columbus, OH: John Glenn Columbus International
Columbus, GA: Columbus Airport
Cincinnati, OH: Cincinnati/Northern Kentucky International
Mosinee, WI: Central Wisconsin
Dayton, OH: James M Cox/Dayton International
Washington, DC: Ronald Reagan Washington National
Denver, CO: Denver International
Dallas/Fort Worth, TX: Dallas/Fort Worth International
Des Moines, IA: Des Moines International
Detroit, MI: Detroit Metro Wayne County
Evansville, IN: Evansville Regional
New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional
Newark, NJ: Newark Liberty International
Key West, FL: Key West International
Flint, MI: Bishop International
Fort Smith, AR: Fort Smith Regional
Gainesville, FL: Gainesville Regional
Gulfport/Biloxi, MS: Gulfport-Biloxi International
Green Bay, WI: Green Bay Austin Straubel International
Grand Rapids, MI: Gerald R. Ford International
Greensboro/High Point, NC: Piedmont Triad International
Columbus, MS: Golden Triangle Regional
White Plains, NY: Westchester County
Harlingen/San Benito, TX: Valley International
Washington, DC: Washington Dulles International
Houston, TX: George Bush Intercontinental/Houston
Wilmington, NC: Wilmington International
Indianapolis, IN: Indianapolis International
Jacksonville, FL: Jacksonville International
New York, NY: John F. Kennedy International
Lexington, KY: Blue Grass
Lafayette, LA: Lafayette Regional Paul Fournet Field
New York, NY: LaGuardia
Lincoln, NE: Lincoln Airport
Saginaw/Bay City/Midland, MI: MBS International
Kansas City, MO: Kansas City International
Memphis, TN: Memphis International
Montgomery, AL: Montgomery Regional
Manchester, NH: Manchester-Boston Regional
Milwaukee, WI: General Mitchell International
Moline, IL: Quad City International
Madison, WI: Dane County Regional-Truax Field
Minneapolis, MN: Minneapolis-St Paul International
New Orleans, LA: Louis Armstrong New Orleans International
Jacksonville/Camp Lejeune, NC: Albert J Ellis
Omaha, NE: Eppley Airfield
Chicago, IL: Chicago O'Hare International
Norfolk, VA: Norfolk International
Newport News/Williamsburg, VA: Newport News/Williamsburg International
Philadelphia, PA: Philadelphia International
Pittsburgh, PA: Pittsburgh International
Providence, RI: Theodore Francis Green State
Portland, ME: Portland International Jetport
Raleigh/Durham, NC: Raleigh-Durham International
Richmond, VA: Richmond International
Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field
Rochester, NY: Greater Rochester International
Fort Myers, FL: Southwest Florida International
San Antonio, TX: San Antonio International
Savannah, GA: Savannah/Hilton Head International
South Bend, IN: South Bend International
Louisville, KY: Louisville Muhammad Ali International
Springfield, MO: Springfield-Branson National
Shreveport, LA: Shreveport Regional
Sarasota/Bradenton, FL: Sarasota/Bradenton International
St. Louis, MO: St Louis Lambert International
Syracuse, NY: Syracuse Hancock International
Tallahassee, FL: Tallahassee International
Tulsa, OK: Tulsa International
Traverse City, MI: Cherry Capital
Knoxville, TN: McGhee Tyson
Fayetteville, AR: Northwest Arkansas Regional
Albuquerque, NM: Albuquerque International Sunport
Austin, TX: Austin - Bergstrom International
Boise, ID: Boise Air Terminal
Bozeman, MT: Bozeman Yellowstone International
Charleston, SC: Charleston AFB/International
Colorado Springs, CO: City of Colorado Springs Municipal
Daytona Beach, FL: Daytona Beach International
Eagle, CO: Eagle County Regional
El Paso, TX: El Paso International
Fresno, CA: Fresno Yosemite International
Fort Lauderdale, FL: Fort Lauderdale-Hollywood International
Spokane, WA: Spokane International
Greer, SC: Greenville-Spartanburg International
Gunnison, CO: Gunnison-Crested Butte Regional
Hayden, CO: Yampa Valley
Honolulu, HI: Daniel K Inouye International
Wichita, KS: Wichita Dwight D Eisenhower National
Jackson, WY: Jackson Hole
Kona, HI: Ellison Onizuka Kona International at Keahole
Las Vegas, NV: McCarran International
Los Angeles, CA: Los Angeles International
Lihue, HI: Lihue Airport
Midland/Odessa, TX: Midland International Air and Space Port
Orlando, FL: Orlando International
Harrisburg, PA: Harrisburg International
Miami, FL: Miami International
Montrose/Delta, CO: Montrose Regional
Myrtle Beach, SC: Myrtle Beach International
Oakland, CA: Metropolitan Oakland International
Kahului, HI: Kahului Airport
Oklahoma City, OK: Will Rogers World
Ontario, CA: Ontario International
West Palm Beach/Palm Beach, FL: Palm Beach International
Portland, OR: Portland International
Phoenix, AZ: Phoenix Sky Harbor International
Pensacola, FL: Pensacola International
Palm Springs, CA: Palm Springs International
Reno, NV: Reno/Tahoe International
San Diego, CA: San Diego International
Seattle, WA: Seattle/Tacoma International
San Francisco, CA: San Francisco International
San Jose, CA: Norman Y. Mineta San Jose International
San Juan, PR: Luis Munoz Marin International
Salt Lake City, UT: Salt Lake City International
Sacramento, CA: Sacramento International
Santa Ana, CA: John Wayne Airport-Orange County
Charlotte Amalie, VI: Cyril E King
Christiansted, VI: Henry E. Rohlsen
Tampa, FL: Tampa International
Tucson, AZ: Tucson International
Valparaiso, FL: Eglin AFB Destin Fort Walton Beach
Adak Island, AK: Adak
Kodiak, AK: Kodiak Airport
Anchorage, AK: Ted Stevens Anchorage International
Bethel, AK: Bethel Airport
Bellingham, WA: Bellingham International
Barrow, AK: Wiley Post/Will Rogers Memorial
Burbank, CA: Bob Hope
Cordova, AK: Merle K Mudhole Smith
